id,name,symbol,slug,num_market_pairs,date_added,tags/0,tags/1,tags/2,tags/3,tags/4,tags/5,tags/6,tags/7,tags/8,tags/9,tags/10,tags/11,tags/12,tags/13,tags/14,tags/15,tags/16,tags/17,tags/18,tags/19,tags/20,tags/21,tags/22,tags/23,tags/24,tags/25,tags/26,tags/27,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote/USD/price,quote/USD/volume_24h,quote/USD/volume_change_24h,quote/USD/percent_change_1h,quote/USD/percent_change_24h,quote/USD/percent_change_7d,quote/USD/percent_change_30d,quote/USD/percent_change_60d,quote/USD/percent_change_90d,quote/USD/market_cap,quote/USD/market_cap_dominance,quote/USD/fully_diluted_market_cap,quote/USD/tvl,quote/USD/last_updated,tags/28,tags/29,platform/id,platform/name,platform/symbol,platform/slug,platform/token_address
6783,Axie Infinity,AXS,axie-infinity,235,2020-08-31T00:00:00.000Z,collectibles-nfts,gaming,binance-launchpad,metaverse,defiance-capital-portfolio,play-to-earn,animoca-brands-portfolio,,,,,,,,,,,,,,,,,,,,,,270000000,82792906.66026731,270000000,,40,,,,2022-08-04T20:15:00.000Z,17.4443251720649,143061530.86862057,24.619,-0.04137401,-1.79496794,1.85761657,18.05352825,-13.73086574,-38.34263287,1444266385.7221208,0.1366,4709967796.46,,2022-08-04T20:15:00.000Z,,,1027,Ethereum,ETH,ethereum,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b
2416,Theta Network,THETA,theta-network,120,2018-01-17T00:00:00.000Z,media,collectibles-nfts,content-creation,defi,video,metaverse,huobi-capital-portfolio,web3,,,,,,,,,,,,,,,,,,,,,1000000000,1000000000,1000000000,,41,,,,2022-08-04T20:15:00.000Z,1.3932612452203232,74840695.67542642,-15.2828,-0.38275898,-2.30634256,2.75784614,13.29314559,13.45172796,-37.55686083,1393261245.2203233,0.1318,1393261245.22,,2022-08-04T20:15:00.000Z,,,,,,,
6892,Elrond,EGLD,elrond-egld,113,2020-09-04T00:00:00.000Z,binance-launchpad,binance-labs-portfolio,electric-capital-portfolio,exnetwork-capital-portfolio,elrond-ecosystem,injective-ecosystem,bnb-chain,,,,,,,,,,,,,,,,,,,,,,31415926,22958979.96987865,23016298,,42,,,,2022-08-04T20:15:00.000Z,58.26645090369956,47566965.40331343,6.231,-0.53252266,-0.25083038,2.64378531,5.49152556,-23.37165297,-52.46429854,1337738279.2139559,0.1265,1830494509.87,,2022-08-04T20:15:00.000Z,,,,,,,
7278,Aave,AAVE,aave,364,2020-10-02T00:00:00.000Z,defi,dao,yield-farming,three-arrows-capital-portfolio,governance,lending-borowing,blockchain-capital-portfolio,defiance-capital-portfolio,framework-ventures-portfolio,alameda-research-portfolio,pantera-capital-portfolio,parafi-capital,polygon-ecosystem,fantom-ecosystem,bnb-chain,,,,,,,,,,,,,,16000000,13980992.72417972,16000000,,43,,,0.25556347,2022-08-04T20:15:00.000Z,95.5307843297212,193711506.86694384,-8.6498,0.12743017,-2.852655,-5.08859443,54.49501504,-10.33275312,-31.14291827,1335615200.6490142,0.1263,1528492549.28,5226158441.18672,2022-08-04T20:15:00.000Z,,,1027,Ethereum,ETH,ethereum,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9
3155,Quant,QNT,quant,100,2018-08-10T00:00:00.000Z,platform,interoperability,,,,,,,,,,,,,,,,,,,,,,,,,,,14612493,12072738,14612493.080826,,44,,,,2022-08-04T20:15:00.000Z,103.90497869903186,44617097.53801002,-18.8787,0.15822467,-3.09205223,0.60318526,69.00457208,55.30865644,16.74066374,1254417584.7289925,0.1186,1518310773.9,,2022-08-04T20:15:00.000Z,,,1027,Ethereum,ETH,ethereum,0x4a220e6096b25eadb88358cb44068a3248254675
2563,TrueUSD,TUSD,trueusd,283,2018-03-06T00:00:00.000Z,store-of-value,stablecoin,asset-backed-stablecoin,avalanche-ecosystem,arbitrum-ecosytem,bnb-chain,usd-stablecoin,,,,,,,,,,,,,,,,,,,,,,,1200748379.047686,1227899013.9824455,,45,,,,2022-08-04T20:15:00.000Z,1.0000275327485681,487389055.96448916,-17.9407,0.02612377,0.02179201,0.03499845,-0.05866957,-0.05927991,-0.0119567,1200781438.9509,0.1136,1227932821.42,,2022-08-04T20:15:00.000Z,,,1027,Ethereum,ETH,ethereum,0x0000000000085d4780B73119b644AE5ecd22b376
1765,EOS,EOS,eos,470,2017-07-01T00:00:00.000Z,medium-of-exchange,enterprise-solutions,smart-contracts,binance-chain,fenbushi-capital-portfolio,galaxy-digital-portfolio,bnb-chain,,,,,,,,,,,,,,,,,,,,,,,996248346.1794,1061006819.1993,,46,,,,2022-08-04T20:15:00.000Z,1.1824452606450941,263635585.00292078,10.9009,-0.090392,-3.09002318,-10.72992127,18.91109576,-7.93891458,-41.72181556,1178009135.3653445,0.1114,1254582484.87,,2022-08-04T20:15:00.000Z,,,,,,,
3602,Bitcoin SV,BSV,bitcoin-sv,175,2018-11-09T00:00:00.000Z,mineable,pow,sha-256,medium-of-exchange,store-of-value,state-channel,,,,,,,,,,,,,,,,,,,,,,,21000000,19132932.89423905,19132932.89423905,,47,,,,2022-08-04T20:15:00.000Z,60.1222737430278,41450991.56224276,-19.8722,-0.07134369,-3.18355837,-4.13356478,10.22744652,5.21670684,-16.43265719,1150315428.9744213,0.1088,1262567748.6,,2022-08-04T20:15:00.000Z,,,,,,,
3897,OKB,OKB,okb,69,2019-04-30T00:00:00.000Z,marketplace,centralized-exchange,discount-token,alameda-research-portfolio,,,,,,,,,,,,,,,,,,,,,,,,,,60000000,300000000,,48,,,,2022-08-04T20:15:00.000Z,17.750955217768052,8641708.36861382,-21.9873,-0.14340026,-3.36249969,3.68478449,40.78121797,53.68411261,0.91012186,1065057313.0660831,0.1007,5325286565.33,,2022-08-04T20:15:00.000Z,,,1027,Ethereum,ETH,ethereum,0x75231f58b43240c9718dd58b4967c5114342a86c
5665,Helium,HNT,helium,54,2020-06-05T00:00:00.000Z,mineable,enterprise-solutions,distributed-computing,iot,usv-portfolio,multicoin-capital-portfolio,web3,,,,,,,,,,,,,,,,,,,,,,223000000,123031377.82908358,223000000,,49,,,,2022-08-04T20:15:00.000Z,8.542556012541159,5968060.23927919,-14.046,0.13116662,-3.42024287,-8.20779749,-9.23702763,-8.36528892,-41.91677257,1051002436.4050609,0.0994,1904989990.8,,2022-08-04T20:15:00.000Z,,,,,,,
